#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-23T00:37:41 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-23T00:37:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=J/MNRAS/371/703/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/371/703/catalog&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=E(B-V)&-out=SpType&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73710703
#Name: J/MNRAS/371/703
#Title: MILES library of empirical spectra (Sanchez-Blazquez+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/mnras/371/703	    IVOID of underlying data collection
#INFO	creator=Sanchez-Blazquez P.	    First author or institution
#INFO	cites=bibcode:2006MNRAS.371..703S	    Article or Data origin sources
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/371/703	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73710703	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_371_703_catalog:
#Name: J/MNRAS/371/703/catalog
#Title: MILES star catalogue (08 Apr 2024 corrected version)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	E(B-V)	(F6.3)	? Redenning	[ucd=phot.color.excess]
#Column	SpType	(a14)	MK spectral type	[ucd=src.spType]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;E(B-V);SpType
312.2345417;+46.1141389;HD198478        ;20 48 56.29;+46 06 50.9; 0.530;B3 Iae
313.3262917;+54.5181111;HD199191        ;20 53 18.31;+54 31 05.2; 0.010;K0 III
313.9575000;+47.4176667;HD199478        ;20 55 49.80;+47 25 03.6; 0.490;B8 Iae
314.4715833;+44.7881389;HD199799        ;20 57 53.18;+44 47 17.3; 0.061;M1
315.6008333;+44.7909722;HD200527        ;21 02 24.20;+44 47 27.5; 0.000;M3Ib-II:
316.0307917; +2.9944722;HD200580        ;21 04 07.39;+02 59 40.1; 0.000;F9 V
316.2327500;+43.9278611;HD200905        ;21 04 55.86;+43 55 40.3; 0.095;K5Ib...
316.3322500; +7.0693056;HD200779        ;21 05 19.74;+07 04 09.5; 0.003;K6 V
316.3613333; +5.9581944;HD200790        ;21 05 26.72;+05 57 29.5; 0.030;F8 V
316.6260000;+31.1846667;HD201078        ;21 06 30.24;+31 11 04.8; 0.071;F7.5II
316.7247500;+38.7494167;HD201091        ;21 06 53.94;+38 44 57.9; 0.182;K5V
317.5854167;+10.1315833;HD201601        ;21 10 20.50;+10 07 53.7; 0.006;F0p
317.9959583;+17.7277222;HD201891        ;21 11 59.03;+17 43 39.8; 0.000;F8 V-VI
317.9980000;+24.1681667;HD201889        ;21 11 59.52;+24 10 05.4; 0.000;G1V
318.2341250;+30.2269167;HD202109        ;21 12 56.19;+30 13 36.9; 0.006;G8II...
318.9559583; +5.2478333;HD202447        ;21 15 49.43;+05 14 52.2; 0.022;G0III+...
319.4887083;-17.9851389;HD202671        ;21 17 57.29;-17 59 06.5; 0.043;B5II/III
321.0399583;-20.8518611;HD203638        ;21 24 09.59;-20 51 06.7; 0.010;K0III
321.4649167; +0.5343333;HD204041        ;21 25 51.58;+00 32 03.6; 0.025;A1IV
321.6667917;-22.4113333;HD204075        ;21 26 40.03;-22 24 40.8; 0.000;G4Ibp...
321.6787917; +5.4416389;HD204155        ;21 26 42.91;+05 26 29.9; 0.000;G5
321.9290417;+57.3219167;HD204613        ;21 27 42.97;+57 19 18.9; 0.008;G0IIIwsp
322.1650000;+70.5607222;HD205021        ;21 28 39.60;+70 33 38.6; 0.040;B2IIIvar
322.1808333;-21.8071667;HD204381        ;21 28 43.40;-21 48 25.8; 0.008;K0III
322.2197500;+55.4186944;HD204754        ;21 28 52.74;+55 25 07.3; 0.224;B8III
322.3675417; -3.5153889;HD204543        ;21 29 28.21;-03 30 55.4; 0.010;G0
322.5114583;-12.5100556;HD204587        ;21 30 02.75;-12 30 36.2; 0.004;M0 V
323.4952083;+45.5918333;HD205435        ;21 33 58.85;+45 35 30.6; 0.006;G8 III
323.5382917;-27.9011944;HD205153        ;21 34 09.19;-27 54 04.3; 0.025;G0 IV
323.6940000;+38.5340556;HD205512        ;21 34 46.56;+38 32 02.6; 0.000;K1 III
324.2934167;+62.3042500;HD206078        ;21 37 10.42;+62 18 15.3; 0.002;G8 III
324.4800833;+62.0819444;HD206165        ;21 37 55.22;+62 04 55.0; 0.470;B2 Ib
325.4803750;+71.3114167;HD206952        ;21 41 55.29;+71 18 41.1; 0.000;K0III
325.6646250;-18.8663333;HD206453        ;21 42 39.51;-18 51 58.8; 0.033;G8III
325.7668333;+72.3200833;HD207130        ;21 43 04.04;+72 19 12.3; 0.010;K0III
326.0359167;+28.7428889;HD206826        ;21 44 08.62;+28 44 34.4; 0.000;F6V
326.0465000; +9.8750000;HD206778        ;21 44 11.16;+09 52 30.0; 0.287;K2Ibvar
326.3621667;+61.1208056;HD207260        ;21 45 26.92;+61 07 14.9; 0.033;A2 Ia
326.6327083; -2.2127500;HD207076        ;21 46 31.85;-02 12 45.9; 0.027;M7 III
326.6983750;+49.3095556;HD207330        ;21 46 47.61;+49 18 34.4; 0.100;B3III
326.7344167;+21.2974444;HD207222        ;21 46 56.26;+21 17 50.8; 0.057;A0
327.4170417;+41.1487778;HD207673        ;21 49 40.09;+41 08 55.6; 0.000;A2 Ib
328.7214583;+56.6112222;HD208501        ;21 54 53.15;+56 36 40.4; 0.780;B8 Ib
329.6701250;+29.8126389;HD208906        ;21 58 40.83;+29 48 45.5; 0.000;F8 V-VI
329.8123750;+73.1798889;HD209369        ;21 59 14.97;+73 10 47.6; 0.000;F5V
330.8292917;+11.3865556;HD209459        ;22 03 19.03;+11 23 11.6; 0.052;B9.5V
331.2866250;+62.2798056;HD209975        ;22 05 08.79;+62 16 47.3; 0.390;08 Ib
332.4227083;-13.6054167;HD210295        ;22 09 41.45;-13 36 19.5; 0.000;G8
332.6561667;-11.5649444;HD210424        ;22 10 37.48;-11 33 53.8; 0.000;B5III
332.7136667;+58.2012500;HD210745        ;22 10 51.28;+58 12 04.5; 0.195;K1.5 Ib
332.7396250;+24.4886111;HD210595        ;22 10 57.51;+24 29 19.0; 0.004;F7Vwe
333.1073333;-14.1939444;HD210705        ;22 12 25.76;-14 11 38.2; 0.003;F0V
333.5835000;+18.0203889;HD211075        ;22 14 20.04;+18 01 13.4; 0.016;K2
335.7507917;+57.2846111;HD212454        ;22 23 00.19;+57 17 04.6; 0.054;B8III-IV
336.9646667; +4.6956667;HD212943        ;22 27 51.52;+04 41 44.4; 0.000;K0 III
337.2832500; +9.1290278;HD213119        ;22 29 07.98;+09 07 44.5; 0.021;K5III
337.2885417;+58.4041111;HD213307        ;22 29 09.25;+58 24 14.8; 0.100;A0
337.3135000;-30.0184167;HD213042        ;22 29 15.24;-30 01 06.3; 0.076;K5V
337.5779167;+57.2254444;HD213470        ;22 30 18.70;+57 13 31.6; 0.020;A3 Ia
339.0268333;-16.3880000;HD214080        ;22 36 06.44;-16 23 16.8; 0.050;B1/B2Ib
339.6408333;-15.3008056;G156-031        ;22 38 33.80;-15 18 02.9;      ;M7e
339.7191250;+19.5222500;HD214567        ;22 38 52.59;+19 31 20.1; 0.023;G8II
339.8930417;+37.5928056;HD214714        ;22 39 34.33;+37 35 34.1; 0.123;G3Ib-IICNe
340.4391667;+29.3076389;HD214994        ;22 41 45.40;+29 18 27.5; 0.018;A1IV
341.5467917;+40.1073056;BD+394926       ;22 46 11.23;+40 06 26.3; 0.280;B8
341.6732500;+12.1728889;HD215648        ;22 46 41.58;+12 10 22.4; 0.000;F7 V
342.4200833;+66.2004167;HD216228        ;22 49 40.82;+66 12 01.5; 0.011;K0 III
342.4429583;+55.9027778;HD216174        ;22 49 46.31;+55 54 10.0; 0.030;K1 III
342.5007917;+24.6015833;HD216131        ;22 50 00.19;+24 36 05.7; 0.000;G8 III
342.6295417; -6.9137500;HD216143        ;22 50 31.09;-06 54 49.5; 0.020;G5
342.7172917;+18.0021111;HD216219        ;22 50 52.15;+18 00 07.6; 0.026;G0IIp
343.1002917; +9.8356667;HD216385        ;22 52 24.07;+09 50 08.4; 0.002;F7 IV
343.6040417;+84.3461667;HD217382        ;22 54 24.97;+84 20 46.2; 0.000;K4III
343.6894583;-16.2719444;HD216640        ;22 54 45.47;-16 16 19.0; 0.000;K1III
343.9354583;+36.3513889;HD216831        ;22 55 44.51;+36 21 05.0; 0.060;B7III
344.0984583;+41.6038611;HD216916        ;22 56 23.63;+41 36 13.9; 0.100;B2IV
344.3665833;+20.7688333;HD217014        ;22 57 27.98;+20 46 07.8; 0.000;G5V
344.5647500; -2.3953889;HD217107        ;22 58 15.54;-02 23 43.4; 0.019;G8IV
345.6390417;+31.7815833;HD217754        ;23 02 33.37;+31 46 53.7; 0.032;F2IV
346.0457500;+50.0520833;HD218031        ;23 04 10.98;+50 03 07.5; 0.014;K0 IIIb
346.5755833;+18.5177500;HD218235        ;23 06 18.14;+18 31 03.9; 0.005;F6Vs
346.7510833; +9.4095000;HD218329        ;23 07 00.26;+09 24 34.2; 0.025;M1 IIIab
347.1640417;-15.0533056;HD218502        ;23 08 39.37;-15 03 11.9; 0.000;F3w
347.4787500;-22.4576111;HD218640        ;23 09 54.90;-22 27 27.4; 0.021;A3IV:
347.6133333;+43.5442222;HD218804        ;23 10 27.20;+43 32 39.2; 0.000;F5IV
347.8524583;-16.2511111;HD218857        ;23 11 24.59;-16 15 04.0; 0.000;G6w
348.3207083;+57.1683611;HD219134        ;23 13 16.97;+57 10 06.1; 0.002;K3 Vvar
348.3760000;-17.3690833;HD219116        ;23 13 30.24;-17 22 08.7; 0.179;G8IIIp
348.4117500;+39.4173889;BD+384955       ;23 13 38.82;+39 25 02.6; 0.020;F6
348.9728750; -9.0877222;HD219449        ;23 15 53.49;-09 05 15.8; 0.000;K0 III
349.1762500;+53.2134722;HD219623        ;23 16 42.30;+53 12 48.5; 0.000;F7 V
349.2710000;-13.8510000;HD219617        ;23 17 05.04;-13 51 03.6; 0.000;F8w
349.2914167; +3.2822778;HD219615        ;23 17 09.94;+03 16 56.2; 0.000;G9 III
349.4360417;+49.0153056;HD219734        ;23 17 44.65;+49 00 55.1; 0.019;M2 III
349.6562083;+68.1114444;HD219916        ;23 18 37.49;+68 06 41.2; 0.106;K0III
349.8490417;+62.7397778;HD219978        ;23 19 23.77;+62 44 23.2; 0.228;K4.5 Ib
350.0857500; +5.3813056;HD220009        ;23 20 20.58;+05 22 52.7; 0.000;K2 III
351.1454583;+41.1129167;HD220575        ;23 24 34.91;+41 06 46.5; 0.119;B8III
351.6368333;+60.6285278;BD+592723       ;23 26 32.84;+60 37 42.7; 0.030;F2
351.7331250; +1.2556111;HD220825        ;23 26 55.95;+01 15 20.2; 0.014;A0p...
351.9182917;+25.1672778;HD220933        ;23 27 40.39;+25 10 02.2; 0.038;A0mnp...
351.9920417; +6.3790000;HD220954        ;23 27 58.09;+06 22 44.4; 0.010;K1III
352.3700417;+30.4327222;HD221170        ;23 29 28.81;+30 25 57.8; 0.030;G2IV
352.3836667; -4.5327500;HD221148        ;23 29 32.08;-04 31 57.9; 0.000;K3 IIIvar
352.8225417;+39.2361944;HD221345        ;23 31 17.41;+39 14 10.3; 0.010;K0III
352.8321667;+52.4106944;HD221377        ;23 31 19.72;+52 24 38.5; 0.005;F7Vm
352.9674167;+19.9372500;BD+195116B      ;23 31 52.18;+19 56 14.1;      ;M6 V
353.6564167;+40.2364444;HD221756        ;23 34 37.54;+40 14 11.2; 0.022;A1III
353.8703750;+31.0171667;HD221830        ;23 35 28.89;+31 01 01.8; 0.000;F9 V
354.8368750;+77.6322778;HD222404        ;23 39 20.85;+77 37 56.2; 0.000;K1IV
354.9876667; +5.6262778;HD222368        ;23 39 57.04;+05 37 34.6; 0.000;F7 V
355.1693333;+36.7207778;HD222451        ;23 40 40.64;+36 43 14.8; 0.015;F1V
355.4798750;+44.1772222;G171-010        ;23 41 55.17;+44 10 38.0; 0.088;M6e
356.5085417;+46.4202778;HD223047        ;23 46 02.05;+46 25 13.0; 0.147;G5Ib
357.2090417;+62.2145000;HD223385        ;23 48 50.17;+62 12 52.2; 0.634;A3Ia+...
357.5613750; -9.9741389;HD223524        ;23 50 14.73;-09 58 26.9; 0.013;K0IV
357.8389167;-18.9091667;HD223640        ;23 51 21.34;-18 54 33.0; 0.013;B9p(SiCrSr)
359.5260417;+29.9766389;HD224458        ;23 58 06.25;+29 58 35.9; 0.050;G8III
359.5440417;+62.6100556;BD+612575       ;23 58 10.57;+62 36 36.2; 0.573;F8 Ib
013.2433333;-26.6016667;NGC288-77       ;00 52 58.40;-26 36 06.0; 0.030;
051.0807083;+49.8611944;HD020902        ;03 24 19.37;+49 51 40.3; 0.090;F5 Ib
056.0470833;+23.3794444;Mel22_0296      ;03 44 11.30;+23 22 46.0; 0.044;G8V
057.4600000;+23.7058333;Mel22_2462      ;03 49 50.40;+23 42 21.0; 0.044;
061.5672083;+15.6981111;HD025825        ;04 06 16.13;+15 41 53.2; 0.015;G0 V
063.6346667;+23.5749444;HD026736        ;04 14 32.32;+23 34 29.8; 0.000;G3 V
064.1395000;+21.9074722;HD284253        ;04 16 33.48;+21 54 26.9; 0.054;K0 V
064.9785833;+16.5225833;HD027383        ;04 19 54.86;+16 31 21.3; 0.000;F7 V+?
065.3818750;+21.0398889;HD027524        ;04 21 31.65;+21 02 23.6; 0.008;F5 V
065.3949583;+14.4097778;HD027561        ;04 21 34.79;+14 24 35.2; 0.009;F5 V
066.3724167;+17.9279167;HD027962        ;04 25 29.38;+17 55 40.5; 0.048;A2IV
067.5748750;+19.8405833;HD028483        ;04 30 17.97;+19 50 26.1; 0.014;F6 V
067.6620417;+15.6918889;HD028546        ;04 30 38.89;+15 41 30.8; 0.000;Am
069.5393333;+16.0332778;HD029375        ;04 38 09.44;+16 01 59.8; 0.053;F0 V
071.1076250;+11.1461389;HD030034        ;04 44 25.83;+11 08 46.1; 0.055;F0 V
071.5072500;+11.7055833;HD030210        ;04 46 01.74;+11 42 20.1; 0.000;Am
072.5997083;+17.2026667;HD030676        ;04 50 23.93;+17 12 09.6; 0.000;F8
073.7431667;+19.4853889;HD031236        ;04 54 58.36;+19 29 07.4; 0.000;F3 IV
081.0379167;-24.5711111;M79_153         ;05 24 09.10;-24 34 16.0; 0.010;
081.0391667;-24.5583333;M79_160         ;05 24 09.40;-24 33 30.0; 0.010;
081.0770833;-24.5294444;M79_223         ;05 24 18.50;-24 31 46.0; 0.010;
114.6008333;+21.5488889;NGC2420-140     ;07 38 24.20;+21 32 56.0; 0.040;
132.8265000;+11.7558611;M67_F-108       ;08 51 18.36;+11 45 21.1; 0.060;GB
184.9609167;+28.4643611;HD107276        ;12 19 50.62;+28 27 51.7; 0.014;A6 IV-V
185.3614167;+24.9970278;HD107513        ;12 21 26.74;+24 59 49.3; 0.014;A9 V
188.3925833;+24.2829722;HD109307        ;12 33 34.22;+24 16 58.7; 0.013;A4 V
205.4012500;+28.3566667;M3_IV-25        ;13 41 36.30;+28 21 24.0; 0.010;GB
205.4408333;+28.4166667;M3_III-28       ;13 41 45.80;+28 25 00.0; 0.010;GB
205.5165000;+28.4191111;M3_398          ;13 42 03.96;+28 25 08.8; 0.010;GB
229.5900833; +2.0816389;M5_III-03       ;15 18 21.62;+02 04 53.9; 0.030;GB
229.6067500; +2.1169444;M5_II-51        ;15 18 25.62;+02 07 01.0; 0.030;GB
229.6118333; +2.1250000;M5_II-76        ;15 18 26.84;+02 07 30.0; 0.030;HB
229.6204583; +2.1169444;M5_II-53        ;15 18 28.91;+02 07 01.0; 0.030;HB
229.6566250; +2.0245000;M5_IV-19        ;15 18 37.59;+02 01 28.2; 0.030;GB
229.6948750; +2.0318056;M5_IV-86        ;15 18 46.77;+02 01 54.5; 0.030;HB
229.6948750; +2.0318333;M5_IV-87        ;15 18 46.77;+02 01 54.6; 0.030;HB
245.8829583;-26.4051111;M4_LEE-2303     ;16 23 31.91;-26 24 18.4; 0.360;
250.3316667;+36.3541667;M13_A-171       ;16 41 19.60;+36 21 15.0; 0.020;AGB
250.3479167;+36.5047222;M13_B-786       ;16 41 23.50;+36 30 17.0; 0.020;GB
259.2487500;+43.2252778;M92_IV-114      ;17 16 59.70;+43 13 31.0; 0.020;GB
259.3408333;+43.2152778;M92_III-13      ;17 17 21.80;+43 12 55.0; 0.020;GB
277.9722083;-19.1250833;HD170764        ;18 31 53.33;-19 07 30.3; 0.300;G1 Ib
278.0546250;-19.1239722;HD170820        ;18 32 13.11;-19 07 26.3; 0.534;K0 III
290.2075000;+37.7280556;NGC6791-R4      ;19 20 49.80;+37 43 41.0; 0.119;
290.1350000;+37.7386111;NGC6791-R5      ;19 20 32.40;+37 44 19.0; 0.119;
290.2233333;+37.8075000;NGC6791-R16     ;19 20 53.60;+37 48 27.0; 0.119;K4III
290.2195833;+37.7408333;NGC6791-R19     ;19 20 52.70;+37 44 27.0; 0.119;
297.8500000;+18.6183333;M71_A9          ;19 51 24.00;+18 37 06.0; 0.270;GB
298.4107083;+18.7751111;M71_1-109       ;19 53 38.57;+18 46 30.4; 0.270;GB
298.4209583;+18.7682222;M71_1-95        ;19 53 41.03;+18 46 05.6; 0.270;AGB
298.4286667;+18.7770556;M71_1-107       ;19 53 42.88;+18 46 37.4; 0.270;AGB
298.4232083;+18.7952778;M71_1-75        ;19 53 41.57;+18 47 43.0; 0.270;
298.4272500;+18.7856667;M71_1-73        ;19 53 42.54;+18 47 08.4; 0.270;GB
298.4299167;+18.7518611;M71_KC-147      ;19 53 43.18;+18 45 06.7; 0.270;
298.4322083;+18.7926667;M71_1-71        ;19 53 43.73;+18 47 33.6; 0.270;GB
298.4361667;+18.7853333;M71_KC-263      ;19 53 44.68;+18 47 07.2; 0.270;
298.4400417;+18.7639444;M71_1-87        ;19 53 45.61;+18 45 50.2; 0.270;
298.4385417;+18.7820556;M71_1-66        ;19 53 45.25;+18 46 55.4; 0.270;AGB
298.4405417;+18.7836667;M71_1-65        ;19 53 45.73;+18 47 01.2; 0.270;GB
298.4422917;+18.7905833;M71_1-64        ;19 53 46.15;+18 47 26.1; 0.270;GB
298.4440000;+18.7956111;M71_1-63        ;19 53 46.56;+18 47 44.2; 0.270;AGB
298.4479583;+18.7713889;M71_1-21        ;19 53 47.51;+18 46 17.0; 0.270;GB
298.4500417;+18.7857222;M71_1-37        ;19 53 48.01;+18 47 08.6; 0.270;GB
298.4485833;+18.7885556;M71_1-41        ;19 53 47.66;+18 47 18.8; 0.270;HB
298.4543750;+18.7667500;M71_1-09        ;19 53 49.05;+18 46 00.3; 0.270;AGB
298.4530833;+18.7881667;M71_1-39        ;19 53 48.74;+18 47 17.4; 0.270;HB
298.4577500;+18.7834167;M71_1-34        ;19 53 49.86;+18 47 00.3; 0.270;HB
298.4610000;+18.8187500;M71_1-53        ;19 53 50.64;+18 49 07.5; 0.270;GB
298.4780833;+18.7493611;M71_KC-169      ;19 53 54.74;+18 44 57.7; 0.270;
298.4757917;+18.7590833;M71_A2          ;19 53 54.19;+18 45 32.7; 0.270;HB
298.4065417;+18.7912778;M71_1-77        ;19 53 37.57;+18 47 28.6; 0.270;
298.4048750;+18.7889444;M71_1-78        ;19 53 37.17;+18 47 20.2; 0.270;
298.4160833;+18.7313611;M71_S           ;19 53 39.86;+18 43 52.9; 0.270;GB
298.4212083;+18.7364444;M71_X           ;19 53 41.09;+18 44 11.2; 0.270;HB
298.4365417;+18.7763611;M71_I           ;19 53 44.77;+18 46 34.9; 0.270;
359.2316667;+56.7525000;NGC7789-329(491);23 56 55.60;+56 45 09.0; 0.269;
359.2837500;+56.7225000;NGC7789-468(589);23 57 08.10;+56 43 21.0; 0.269;GB
359.2366667;+56.6866667;NGC7789-342(502);23 56 56.80;+56 41 12.0; 0.269;
359.2400000;+56.7575000;NGC7789-353(509);23 56 57.60;+56 45 27.0; 0.269;
359.2637500;+56.7661111;NGC7789-415(550);23 57 03.30;+56 45 58.0; 0.269;GB
359.2808333;+56.6947222;NGC7789-461(583);23 57 07.40;+56 41 41.0; 0.269;
359.2966667;+56.7413889;NGC7789-501(614);23 57 11.20;+56 44 29.0; 0.269;GB
359.3208333;+56.7722222;NGC7789-575(671);23 57 17.00;+56 46 20.0; 0.269;GB
359.3437500;+56.6961111;NGC7789-637(723);23 57 22.50;+56 41 46.0; 0.269;
359.3825000;+56.6891667;NGC7789-765(804);23 57 31.80;+56 41 21.0; 0.269;
359.4191667;+56.7563889;NGC7789-859(853);23 57 40.60;+56 45 23.0; 0.269;GB
359.4283333;+56.6491667;NGC7789-875(873);23 57 42.80;+56 38 57.0; 0.269;HB
359.4370833;+56.7622222;NGC7789-897(881);23 57 44.90;+56 45 44.0; 0.269;HB
359.4650000;+56.6491667;NGC7789-971(946);23 57 51.60;+56 38 57.0; 0.269;GB

